iid	series	is_control	sra_path	tf
GSM2701747	GSE101366	False	SRR5833156,SRR5833157,SRR5833158	H3K36me3
GSM2700666	GSE101289	False	SRR5833142	H3K4me1
GSM2702219	GSE101408	False	SRR5823946	H3K27ac
GSM2702220	GSE101408	False	SRR5823947	H3K27ac
GSM2702221	GSE101408	False	SRR5823948	H3K27ac
GSM2702222	GSE101408	False	SRR5823949	H3K27ac
GSM2443453	GSE93080	False	SRR5139368	NIPBL
GSM2443454	GSE93080	False	SRR5139369	NIPBL
GSM2443455	GSE93080	False	SRR5139370	NIPBL
GSM2443456	GSE93080	False	SRR5139371	NIPBL
GSM2443457	GSE93080	False	SRR5139372	NIPBL
GSM2443458	GSE93080	False	SRR5139373	NIPBL
GSM2443459	GSE93080	False	SRR5139374	NIPBL
GSM2443460	GSE93080	False	SRR5139375	NIPBL
GSM2345029	GSE88747	False	SRR4423323	anti-BRD4
GSM2345030	GSE88747	False	SRR4423324	anti-BRD4
GSM2345031	GSE88747	False	SRR4423325	anti-BRD4
GSM2345032	GSE88747	False	SRR4423326	anti-BRD4
GSM2345033	GSE88747	False	SRR4423327	anti-BRD4
GSM2345034	GSE88747	False	SRR4423328	anti-BRD4
GSM2345035	GSE88747	False	SRR4423329	anti-BRD4
GSM2345036	GSE88747	False	SRR4423330	anti-BRD4
GSM2345026	GSE88746	False	SRR4423331	anti-C/EBPα
GSM2345027	GSE88746	False	SRR4423332	anti-C/EBPα
GSM2345028	GSE88746	False	SRR4423333,SRR4423334	anti-C/EBPα
GSM2700618	GSE101284	False	SRR5833008	RNF2
GSM2700619	GSE101284	False	SRR5833009	RNF2
GSM2700617	GSE101283	False	SRR5833002,SRR5833003,SRR5833004,SRR5833005	H3K27me3
GSM2700616	GSE101282	False	SRR5833000,SRR5833001	H3K4me1
GSM2700615	GSE101281	False	SRR5833014,SRR5833015	H3K4me3
GSM2700612	GSE101280	False	SRR5832997	Control
GSM2700613	GSE101280	False	SRR5832998	Control
GSM2700614	GSE101280	False	SRR5832999	Control
GSM2700610	GSE101279	False	SRR5833127,SRR5833128,SRR5833129,SRR5833130	CTCF
GSM2700611	GSE101279	False	SRR5833132,SRR5833131	CTCF
GSM2700609	GSE101278	False	SRR5833103,SRR5833104	H3K4me3
